id,language_code,description,label
HDl-svhI5hg,en,is a 24 7 Marathi language News Channel based in Mumbai Maharashtra that launched in 2009,not_relevant
UZD3qBFVJE4,hi,राज्यभरात सुरू असलेल्या मुसळधार पावसामुळे अनेक ठिकाणी पूरस्थिती,highly_relevant
QGGdR0qkKs0,hi,Satara Rain News साताऱ्यात जोरदार पाऊस धरणाच्या पाणीपातळीत वाढ प्रशासन,highly_relevant
A2EOxG2AuLM,hi,Maharashtra Rain News राज्यभरात दिवसभर पावसाचा हाहा कार नदीनाल्यांना पूर,highly_relevant
72JTTty34Lo,hi,Launch of Mumbai Climate Action Plan मुंबई वातावरण कृती आराखडा अहवाल लोकार्पण,not_relevant
zifDvFVLIJ4,en,is a 24 7 Marathi language News Channel based in Mumbai Maharashtra that launched in 2009,not_relevant
ctrFd89rIP0,hi,LIVE TV playlist TV9 Marathi is a 24 7,highly_relevant
y1bcWRMlPW0,en,Stormsurge,highly_relevant
b1JW0FpVDkE,hi,वडराई समुद्रात बोट अडकली १३ जण या बोटीत असल्याची माहिती,not_relevant
X3GTGohiJfs,en,चक्रीवादळतील तो दिवस Cyclone that Day The eye of the storm narrowly missed the city while nearby coastal,highly_relevant
pgtqEELHcFc,hi,US madhe कुठेही गेलात तर अमेरिकन लोक कमी आणि टूरिस्ट लोक किव्वा पर,not_relevant
nT9Zgi_JK9g,en,Weekly Current Affairs Top 60 MCQs 9 Aug to 15 Aug by Rohit Sir Unacademy IBPS PO Championship Free Mocks for,not_relevant
MVIqHCCxm-w,en,Polity by Lakhmikant English Polity by Lakhmikant Hindi,not_relevant
PWy2wx8S2Uk,en,Daily Current Affairs of 7 August 2020 by Priyanka Mam are explained in this video The current affairs are in bilingual nature i e,not_relevant
0ckHN4sprx0,en,This channel is for all types of competitive exams About OM Library is a YouTube Channel for Educational videos Daily,not_relevant
09DDFkLGcKg,en,Current Affairs Quiz 2020 by Bhunesh Sir 7 August 2020 Current Affairs Questions 2020 Current Affairs Today Welcome to,not_relevant
u6TeA2Aqf8M,en,KVS PGT TGT NET AP Exam Practice Classes 2022 2023 Geography By Abhishek Kumar Jha Join our Free Telegram,not_relevant
51qW5ZLt7Sk,en,Haye Haye Yeh Majboori Full Song Lata Mangeshkar Manoj Kumar Zeenat Aman 70s Hit Song Movie album Roti Kapda Aur,not_relevant
SZZcceE19H4,hi,मुंबईजवळील अरबी समुद्रामध्ये उच्च समुद्राच्या लाटा दिसतात गेट वे,not_relevant
aqbVd5bZVac,en,Movie Kachche Dhaage 1973 Music Director Laxmikant Pyarelal Singers Lata Mangeshkar Director Raj Khosla Enjoy this,not_relevant
wJ1mqmbngO0,en,Movie Samadhi 1972 Song Kaanta Laga Bangle Ke Peechhe Starcast Asha Parekh Singer Lata Mangeshkar Music,not_relevant
xWdCmQxaysY,en,We all know how successful Kishore Kumar was and how hardworking he was Once Lata ji could not come for the song due to,not_relevant
s5F5o8yLsHM,en,Listen to the song Haye Haye Yeh Majboori हाय हाय ये मजबूरी starring Zeenat Aman sung by,not_relevant
t5wpdRDhZ_Y,en,Listen to the timeless classic Haye Haye Yeh Majboori from the iconic 1974 film Roti Kapda Aur Makaan This soulful song sung,not_relevant
8OyKETT5pAc,en,we r provide online yoga class weightloss strength bodytoning fitness Personal Training Therapeutical Yog contact 9998921379,highly_relevant
LZYO5nZ29LE,en,Lata Mangeshkar Main Tere Ishq Mein Old 70s Song Romantic Hits Song Main Tere Ishq,not_relevant
KOT0j-B8Ktk,hi,पाएं अपने सवालों के जवाब इस विडियो के माध्यम से आप,not_relevant
8kJq0iS2Fnk,en,Saiyaara Full Song Lata Mangeshkar Kishore Kumar Saiyaara Old Version Hai main Mar Hi Jau Saiyaara Original What if,not_relevant
byDiwLWnOpw,hi,समुद्राच्या लाटा पासून दुर रहा,not_relevant
u42ZpTwCgi4,en,00 28 Sheesha Ho Ya Dil Ho Aasha 04 26 Pardesiya Yeh Sach Hai Piya Mr Natwarlal 09 03 Tere Bina Zindagi Se Koi Shikwa,not_relevant
NHlBYvIMyOI,en,bloodpressureproblems ch12 Related Keywords बीपी लक्षण हाई बीपी लक्षण,not_relevant
jXV-me-UAI0,en,top 5 best iconic songs of Lata Mangeshkar aye mere watan ke logo dekha ek Khwab,not_relevant
az3Dhx1LdI8,hi,हाई डिमांड पर रिलीज हुआ ये Video झुमका लाना ऐ बलम antra Singh Priyanka sona ka,not_relevant
uxBpZ6bSzOY,en,लाटा parking,not_relevant
aHnmN_HSv5o,en,Opening a 60 year old can of Grape Hi C from a Fallout Shelter I was surprised by the brown color and the smell It smelled like,not_relevant
yP7OoWMR5Uw,en,Remembering the queen of melody and her contribution to Indian music industry Listen to old Hindi songs sung by Lata Ji and,not_relevant
r5S1ZqNzmA4,en,Saiyaara Original Lata Mangeshkar Kishore Kumar Saiyaara Old Version Hai main Mar Hi Jau What if the emotional hit,not_relevant
8I8iWDQfQ2M,hi,हाई डिमांड पर रिलीज हुआ ये झुमका लाना ऐ बलम Singh Priyanka Sona Ke,not_relevant
1JoblEzytSA,en,hy dekho lata mangeshkar k u daily vloge song,not_relevant
lWnA2deaDmo,en,In this video we have discussed important symptoms of high blood pressure,not_relevant
4BfXgOmmR2k,hi,सबसे उच्च श्रेणी का जप जो शीघ्र परमात्मा के करीब लाता है।,not_relevant
q_X56QruzUc,en,,not_relevant
aXe-Dt1GBVg,hi,,not_relevant
QNsOGT3mn1M,hi,बैंगलोर से माधवी लता दुनिया का सबसे ऊंचा रेलवे पुल डिजाइन किया उनकी,not_relevant
c4Nf2rsnx-o,hi,कह सीता सुनु जति गोसाई।,not_relevant
6UEiTefFO-U,en,,not_relevant
o7S6Z0aJCY4,hi,ज्वालामुखी का लावा लाना अत्यंत कठिन और खतरनाक कार्य है। इसके कई,not_relevant
XacEdgWD4uw,hi,,not_relevant
pNO8bIxRKn4,hi,,not_relevant
lI1FczgshD0,hi,,not_relevant
uCxuxSooeYk,hi,बीमारी रोधक क्षमता हमारे बीज रोगों से लड़ने में सक्षम। आकर्षक,not_relevant
8neF5PNjzdQ,hi,,not_relevant
a9isB_fzh38,en,लो बीपी के लक्षण BP Low Symptoms निम्न रक्तचाप के लक्षण Symptoms of Low Blood,not_relevant
pXt_yYarJ64,hi,Running में Speed लाना है तो ये 4 Exercise जरूर करें।,not_relevant
yZe7tA08jrs,hi,हाइपरटेंशन Hypertension या हाई ब्लड प्रेशर High blood pressure एक बहुत ही आम,not_relevant
e39rFLmeZUo,hi,,not_relevant
ojyjMzMlxLY,hi,,not_relevant
wWnoLv0-cRU,en,The ghost,not_relevant
O8psOkTO7Gc,hi,तुम्ही माझ्या युट्यूब चैनलला भेट दिल्याबद्दल धन्यवाद असाच सर्पोट,not_relevant
xiMPSyK_C8M,en,super jaychand Yadav comedy video,not_relevant
8GvvEUOGCow,hi,funny ॉर्ट्स,not_relevant
eIfC_2jgu9Q,hi,10th बोर्ड का परीक्षा Vs बिहारी स्टूडेंट,not_relevant
Nlcs0hzv4AA,hi,शीला देवी नवादा शॉर्ट वीडियो देखकर दोस्तों सब्सक्राइब कीजिए,not_relevant
cYyMzStSLL0,hi,Hindi Chapter 64 डर उच्च स्तर की जागरूकता लाता है,not_relevant
812a6vjtFD8,en,,not_relevant
vYiG4rPYSWM,hi,ईद के दिन भी रिकॉर्डिंग पर Mohammed Rafi स्रोत पुष्टि,not_relevant
tz8kmuG9zEY,en,,not_relevant
9iWube_DGy0,en,Me VS Maa At Lunch Break,not_relevant
16ORyVTwrlo,hi,,not_relevant
pFfjsKVH5Lc,hi,,not_relevant
uWTsNTsogbw,hi,,not_relevant
pgCqE1phCkg,en,jhupat jhupat aabe dai kuwari mata kuwarimata kuwari mata ka ghar bhakto ki bhid kuwarimata kuwari mata kuwari mata,not_relevant
8DGy5nogjcc,en,Hello Everyone welcome back to my channel I hope you will be good happy if You want to watch my video regularly please,highly_relevant
rBStjRDHdqw,hi,cholesterol,not_relevant
VdrjWFKEiJw,hi,,not_relevant
CQ0DoEFv0x8,en,RPF SI Constable physical test rpf ki physical long jump high jump chest running rpf physical rpf physical me kya,not_relevant
xsZojWvdEB8,en,Saiyaara,not_relevant
okVAfAFA954,en,Alka Yagnik Shreya Ghoshal Singing Pucho Zara Pucho,not_relevant
UbDiLMsKmQQ,en,Sathyam shivam sundaram सत्यम शिवम सुंदरम 1978 Singer लता मंगेशकर Lata Mangeshkar विवाद,not_relevant
JovIWPl4RUg,hi,,not_relevant
klKUnO62hyE,en,funny Motu Patlu stop the high speed train,highly_relevant
cpwVKhCbD7M,hi,,not_relevant
YT1o1xAR8TI,en,,not_relevant
6pYO__qYzSc,hi,बोर्ड परीक्षा पास होने के लिए कितना नंबर चाहिए,not_relevant
LyzuRhCH48o,hi,चींटी खाने की जगह चप्पल उठा लाई,not_relevant
9VpgCIuE054,hi,पाएं अपने सवालों के जवाब हमारे दिमाग में आने वाले,not_relevant
vZvM2V7pZz0,hi,थार की असली पावर,not_relevant
ZCI2Vzlp2r4,en,Its an emotional track very well sung by Lata Mangeshkar the song Rasik Balma from the movie Chori Chori 1956 starring,not_relevant
yC08kR_0D_U,hi,,not_relevant
dpUi2X5w6-o,en,JANA GANA MANA NATIONAL ANTHEM INDIAN FLAG creative,not_relevant
hmUsavDdpBI,en,been craving SALTY FRESH lately what do you think I m having or What s on my plate Tuna avocado cucumber,not_relevant
IhvSCNhNwb0,en,High jump कैसे करें Delhi police high jump kaise kare high jump ke liye Best Exercise your ques Is video se aapke,not_relevant
UHHcDbNnMDQ,hi,बोर्ड परीक्षा पास होने के लिए कितना मार्क्स चाहिए,not_relevant
Wx_qfgAueYg,en,Laka Gaming Vs Raistar Tonde Gamer shortsyt,not_relevant
f63cZgEczyc,en,Shahjahanpur laat sahab julus holi 2025 बड़े लाट साहब का जुलूस शाहजहांपुर,not_relevant
tJcsxXV-LyY,hi,YouTube Description घर में पानी की सप्लाई कमजोर है अब टेंशन खत्म इस वीडियो,not_relevant
iLvr2AdNqaM,en,highbp,not_relevant
BaGUPKAL96c,en,90 S Old Hindi Songs 90s Love Song Udit Narayan Alka Yagnik Kumar Sanu songs Hindi Jukebox songs,not_relevant
l9FO49hiFAU,hi,कर्मा हेल्थकेयर एक हेल्थकेयर स्टार्ट अप है जिसका उद्देश्य ग्रामीण,not_relevant
wCukphGweKU,en,,not_relevant
_4b5sTLWdFw,hi,Sreema Feeds लाता है उच्च गुणवत्ता वाला कैटल फीड जो देता है बेहतर दूध,not_relevant
CcC-BuqbBds,hi,भूलेबिसरेगीत ईचक दाना बीचक दाना Ichak Dana Bichak Dana Mukesh Lata,not_relevant
rJr-fhhWpXU,en,high voltage generator high voltage generator unboxing diy high voltage generator high voltage generator circuit how to make,not_relevant
vOzR_o0htEs,hi,सच्ची घटना लता खरे एक प्रेरणा ा प्रतिभा ा खरे,not_relevant
a5t0Wes-KrI,hi,जीवन में हर अनुभव कुछ न कुछ सिखाता है चाहे वो सुखद हो या कठिन।,not_relevant
0U_iKsWpgMs,hi,superhitgaane,not_relevant
JaV1P7TwGH0,en,if you re like my video s then please please kar lena Khmer Famer Subscribe to our,not_relevant
iu8LlZdrOek,hi,Portulaca Plant Care In Winter सर्दियों में पोर्टुलाका प्लांट की देखभाल,not_relevant
K0TzqfWj0C4,en,Today trending shorts video village family fun motivational shorts video cute girl shorts viral funny prank humanity shorts video,not_relevant
KjMy0ZXmB3k,en,Hello Friends welcome to my another video about how to see youtube shorts video in high quality you can control the,not_relevant
3qpO5Og3rJc,en,Seize the day sing the heart warming song Khayi Hai Re Humne Kasam from the movie Talash 1969 starrer Rajendra,not_relevant
NhrGdwY21Dc,hi,निशु देशवाल के ट्रैक्टर की सॉरी सच्चाई स्वराज 855 मैं यह गलती,not_relevant
KUic5ED9TKs,en,Listen to the super romantic song Meghaa Re Meghaa Re Mat Parades Jaa Re मेघा रे मेघा रे मत परदेश,not_relevant
5sxe2BPS8-w,hi,जिला रिपोर्टर शक्ति उदय मधुकर प्रगतिशील छ ग सतनामी समाज जिला,not_relevant
ZzDpYgjq-Vc,hi,,not_relevant
nD1pTzhbaaI,hi,,not_relevant
GoDzTluitoo,kn,ಬಕಾಸುರನಂತೆ ಬಾಯ್ತೆರೆದು ಬಂದಿದೆ ದೈತ್ಯಾಕಾರದ ಧೂಳು ನೂರಾರು ಜೀವಗಳನ್ನ,not_relevant
Ol5xZCDfQhA,en,TV9 Kannada Website Subscribe to Tv9 Kannada Like us on,highly_relevant
EaKTo6jUp-o,kn,ಕೊಡಗು ಜಿಲ್ಲೆಯಲ್ಲಿ ಮಳೆಯ ಅಬ್ಬರ ಕೊಂಚ ತಗ್ಗಿದ್ದರೂ ಪ್ರವಾಹದ ಸಂಕಷ್ಟ,highly_relevant
vkLfyVPiEPM,kn,Kodagu floods,highly_relevant
7IqCX2Z9X6c,kn,ನೀರಿನ ವಿಕೋಪಕ್ಕೆ ನಾಶವಾದ ಮನಗಳು ಶಾಲೆಗಳು ಇತ್ಯಾದಿ ಕಾಯ೯ಲಯಗಳ ಮರು,not_relevant
rFmzABMbsrE,en,Kodagu Floods ಕೊಚ್ಚಿ ಹೋಗಿದೆ ಬದುಕು TV5 Kannada TV5 Kannada now captures Karnataka every inch and,highly_relevant
rbJlfh0j5mU,en,Rivers are overflowing bridges are submerged ಮಳೆಗೆ ಉಕ್ಕಿದ ನದಿಗಳು ಸೇತುವೆ ಮುಳುಗಡೆ,not_relevant
7dava-SbTQ8,kn,LIVE Heavy rain India ಮಳೆಗೆ ಉಕ್ಕಿದ ನದಿಗಳು ಸೇತುವೆ ಮುಳುಗಡೆ,highly_relevant
ViItRFnJirw,en,,not_relevant
wLw6ku8I0VA,kn,ಮತ್ತೆ ಮುಂಗಾರು ಆರ್ಭಟ ಕರಾವಳಿ ಭಾಗಕ್ಕೆ ರೆಡ್ ಅಲರ್ಟ್ ಜನತೆ ಎಚ್ಚರ ರೆಡ್,highly_relevant
0DwMZQpUkJM,kn,297 ಅತ್ತಿವೇರಿ ಪಕ್ಷಿಧಾಮ ಯಾವ ಜಿಲ್ಲೆಯಲ್ಲಿ ಕಂಡು ಬರುತ್ತದೆ 1 ಶಿವಮೊಗ್ಗ 2,not_relevant
QxB-6R2pmTY,kn,KAS_PSI_PC_FDA_SDA ಇತರ ಸ್ಪರ್ಧಾತ್ಮಕ ಪರೀಕ್ಷೆಗಳಿಗೆ ಉಪಯೋಗವಾಗುವ ವಿಷಯಗಳು ಈ,not_relevant
a0h5r6xW4xY,en,,not_relevant
JM8Nug8Us1g,kn,ಹ,not_relevant
xGqKwQngUwc,kn,,not_relevant
kqoPAt9HMl0,en,,not_relevant
BvwISVMg1n8,en,PSI Physical Exam 2021 in Karnataka Hall Ticket or Admit Card Download Link,not_relevant
Y9xl7BOvuVE,en,57 ಬಂಗಾಳ ವಿಭಜನೆ 1905 Oct 16,not_relevant
m5VSfbdRJZA,en,,not_relevant
BtSFCUZ_O6w,kn,,not_relevant
4eslGdu5L3c,kn,,not_relevant
o3iIwa2eHGc,en,,not_relevant
knQQfnYwwnc,en,PSI Physical Exam 2021 in Karnataka Hall Ticket or Admit Card Download Link,not_relevant
rdeLr_ss96s,en,,not_relevant
QN5rsjAJwms,kn,,not_relevant
3Ul6kHhw9gg,en,To Join Our Telegram Channel Click Below Link ನಮ್ ಟೆಲಿಗ್ರಾಮ್ ಚಾನಲ್ ಗೆ ಸೇರಲು ಕೆಳಗೆ,not_relevant
vK_qaPmuSzM,en,,not_relevant
OeNF-XUwR1A,en,,not_relevant
YVv8r8CgwG8,kn,,not_relevant
NlHaFOSy8aA,kn,KAS_PSI_PC_FDA_SDA ಇತರ ಸ್ಪರ್ಧಾತ್ಮಕ ಪರೀಕ್ಷೆಗಳಿಗೆ ಉಪಯೋಗವಾಗುವ ವಿಷಯಗಳು ಈ,not_relevant
sqLCP7IraA4,en,,not_relevant
kI4Z8Q00nGU,kn,ನಮ್ಮ ಸ್ಪರ್ಧಾಕ್ರಾಂತಿ ಅಪ್ಲಿಕೇಶನ್ ನ್ನು ಡೌನ್ಲೋಡ್ ಮಾಡಲು ಕೆಳಗಿನ ಲಿಂಕ್,not_relevant
4WIXQieInMU,en,See all my vifdeo s See my all videos in this link,not_relevant
_oYFjRF5nEw,kn,1 ಸ್ಪರ್ಧಾಕ್ರಾಂತಿ ಯೂಟ್ಯೂಬ್ ಚಾನಲ್ ಗೆ ಜಾಯಿನ್ ಆಗಲು ಮತ್ತು ಸ್ಪರ್ಧಾತ್ಮಕ,not_relevant
FzUV0CaIeho,en,GK Questions in Kannada All Videos,not_relevant
zBgbLC_cS9M,en,Information technology act 2000 Kannada Bare ACT,not_relevant
kJPATvnq6TM,en,ಇವತ್ತಿನ ವಿಶೇಷ ತರಗತಿ ಬೆಳಕು KSP KPSC TEACHER recruitment Important Class,not_relevant
qUB0rNsDAuM,en,,not_relevant
6LP3wO7QEyQ,en,Spardha kranthi kranthi kranti in kannada questions and answers kannada constable exam,not_relevant
9_iUMj32sZ8,en,ಕನ್ನಡ ಸಾಹಿತ್ಯ ಪ್ರಮುಖ ಪ್ರಶ್ನೆಗಳು chapter wise pdo and vao exam ವಿಶೇಷಾಂಕ,not_relevant
mRr53gnIaPQ,en,Model paper 1 biology,not_relevant
lrDuwtcAe5E,en,To Join Our Telegram Channel Click Below Link ನಮ್ ಟೆಲಿಗ್ರಾಮ್ ಚಾನಲ್ ಗೆ ಸೇರಲು ಕೆಳಗೆ,not_relevant
z8t__7rGylg,en,DMO DMO Murarji Lecturere solved question paper Exam held on 16 12 2018 Kannada GK,not_relevant
ecOcAYjEMGo,en,Created by VideoShow,not_relevant
XXjOCoP_ZBE,en,Like ಮಾಡಿ share ಮಾಡಿ subscribe ಆಗಿ Model paper 2 Model paper 3,not_relevant
N0lqwXdpBeU,en,Simple tricks Sk is live psi and pc previous year questions,not_relevant
yfbWlHb0pUQ,kn,ದಿನಾಂಕ 18 10 2015 ರಂದು ನಡೆದ kpsc ದ್ವಿತೀಯ ದರ್ಜೆ ಕಿರಿಯ ಸಹಾಯಕರು,not_relevant
1bbxmBS8WuA,kn,1 ಸ್ಪರ್ಧಾಕ್ರಾಂತಿ ಯೂಟ್ಯೂಬ್ ಚಾನಲ್ ಗೆ ಜಾಯಿನ್ ಆಗಲು ಮತ್ತು ಸ್ಪರ್ಧಾತ್ಮಕ,not_relevant
kT_4Jj8nwUg,en,Instagram ಲಿಂಕ್ Telegram ಲಿಂಕ್,not_relevant
aV-Mw8M_Cvs,en,Key Answers Paper 01 KAS Prelims Exam 2024 Exam Date 27 08 2024,not_relevant
ZMGW3NqCXlE,kn,TET LIVE ಸಮಾಜ ವಿಜ್ಞಾನ ಕೊನೆ ಕ್ಷಣದ ತಯಾರಿ ಕಳೆದುಕೊಳ್ಳುವುದನ್ನು,not_relevant
zkJOAYW1AnQ,en,,not_relevant
a3dxRHipx_M,en,Complete your full preparation of the FDA SDA CRASH COURSE with Priyanka Rathod through this Batch Course In this video,not_relevant
lEimzaVRu8k,en,,not_relevant
5EhDVaauUmI,ml,ഏറ്റവും പുതിയ വാർത്തകൾക്കായി സന്ദർശിക്കുക,highly_relevant
VCOXBmQQSw0,en,Reporter Live Reporterlive com is the cyberface of Reporter TV the first journalist driven news channel in Malayalam With the,highly_relevant
TIRsXWOyGyw,ml,Kerala Rain 2023 അറബിക്കടലിൽ Arabian Sea രൂപപെട്ട Cyclone Biporjoy ഇന്ന് തീവ്ര,highly_relevant
Kqm6OZMeQOs,en,The official YouTube channel for Manorama News Subscribe us to watch the missed episodes Subscribe to the,relevant
1j8d6hRFJWo,ml,Cyclone Mocha may bring more rains in Kerala ബംഗാള് ഉള് ക്കടലില് ചുഴലിക്കാറ്റ്,highly_relevant
e4FfJDPPZqI,ml,ക്യാർ ചുഴലിക്കാറ്റ് ശക്തിപ്രാപിച്ചു കേരളം കനത്ത ജാഗ്രതയിൽ,highly_relevant
CwXv4JkXL3w,en,Cyclone Titli hits Odisha shore bringing with it strong winds and heavy rain in the regions Wind speed will be gusting up to 165,highly_relevant
Dr8-VZ_heZI,ml,ചൈനാ കടലിൽ രൂപംകൊണ്ട വിഫാ ചുഴലിക്കാറ്റ് ഇന്ത്യൻ ഭാഗത്തേക്ക്,highly_relevant
HkKk_BUg9oQ,ml,ബംഗാൾ ഉൾക്കടലിൽ ചുഴലിക്കാറ്റ് രൂപപ്പെടാൻ സാധ്യത സംസ്ഥാനത്ത്,highly_relevant
DCZAnTyQJsA,ml,ഏറ്റവും പുതിയ വാർത്തകൾക്കായി സന്ദർശിക്കുക,highly_relevant
xoG-gN7UYzY,ml,ഏറ്റവും പുതിയ വാർത്തകൾക്കായി സന്ദർശിക്കുക,highly_relevant
Qng8sh8P1vA,ml,ബംഗാള് ഉള് ക്കടലില് ആന്ധ്രാഒഡിഷ തീരത്തിനു സമീപം പുതിയ ന്യൂനമര് ദം,highly_relevant
zGovOYGE_YU,en,Cyclone Biporjoy hits Gujarat What s happening Should Kerala be afraid,highly_relevant
f8uf7-Y-F0g,ml,മണിക്കൂറിൽ 204 മില്ലീമീറ്റർ വരെ ലഭിക്കുന്ന പെരുമഴയാണ്,highly_relevant
iimHiO4hFDg,en,cyclone nisarga may hit tomorrow Subscribe to Asianet News YouTube Channel here,highly_relevant
tiLGwNGdX8s,ml,asianetnews ബുറേവി ചുഴലിക്കാറ്റ് അതീവ ജാഗ്രത വേണം നേരിടാൻ,highly_relevant
5IowZndq2UI,ml,ബുറെവി ചുഴലിക്കാറ്റ് കേരള തീരത്തോട് അടുക്കുന്നു വാർത്തകൾ,highly_relevant
4DVo-pEb1ac,ml,Cyclone Biparjoy ബിപോർജോയി ചുഴലിക്കാറ്റ് Gujarat തീരത്തേക്ക് മണിക്കൂറിൽ 150,highly_relevant
tWUsLo_xmp0,ml,തെക്കൻ കേരളത്തിൽ അസാധാരണമായ ചുഴലിക്കാറ്റ് രൂപപ്പെടുന്നു,highly_relevant
D42RLTkJAhw,ml,മനുഷ്യന്റെ സമനില തെറ്റുന്നു കോവിഡിന് പിന്നാലെ ചുഴലിക്കാറ്റ്,highly_relevant
tt1DWi4W-8M,ml,ഏറ്റവും പുതിയ വാർത്തകൾക്കായി സന്ദർശിക്കുക,highly_relevant
e2s_G3ukKo8,en,Cyclone Mokha Should Kerala be worried Will the rain be heavy,highly_relevant
boIOVCWFSCo,en,The official YouTube channel for Manorama News Subscribe us to watch the missed episodes Subscribe to the,highly_relevant
ASmtm44wD3c,ml,ബുറേവി ചുഴലിക്കാറ്റ് ഇന്ത്യന് തീരത്തിന് 120 കിലോമീറ്റര് അടുത്ത്,highly_relevant
xvYGQ1xMxbc,ml,ബംഗാൾ ഉൾകടലിൽ പുതിയൊരു ചുഴലിക്കാറ്റിന് കൂടി സാധ്യതയെന്ന്,highly_relevant
mk5AwMipbmM,ml,ബംഗ്ലാദേശിൽ അടിച്ചുവീശി സിത്രംഗ് ചുഴലിക്കാറ്റ് ഇതിന്റെ,highly_relevant
CIDLt-Ma47o,ml,സംസ്ഥാനത്ത് അതിശക്തമായ മഴ തുടരുന്നു അടുത്ത 24 മണിക്കൂറിൽ ടൗട്ടേ,highly_relevant
Ex4zOFBND3s,ml,rainalert ബംഗാൾ ഉൾക്കടലിൽ മോക്ക,highly_relevant
x9yJ_1O3guo,en,The official YouTube channel for Manorama News Subscribe us to watch the missed episodes Subscribe to the,highly_relevant
Ht0r9OLShQc,ml,malayalamnewslive Watch Manorama News Channel Live Stream,highly_relevant
bb7QKgeRfw0,ml,kairalinews ഫെയ്ഞ്ചൽ ചുഴലിക്കാറ്റ് കേരളത്തിൽ,highly_relevant
U-5Nu4Lq88E,ml,അംഫാൻ ചുഴലിക്കാറ്റ് അറിയേണ്ട കാര്യങ്ങൾ Amphan Cyclone Kerala Iam Razeen Latest,highly_relevant
ryS_DG4Xmq0,ml,കേരള തീരത്ത് കനത്ത മഴ പെയ്യിച്ച് മഹാ ചുഴലിക്കാറ്റ് കനത്ത മഴയില്,highly_relevant
QimsfLMV0Cg,ml,60 വർഷത്തിന് ശേഷം അറബിക്കടലിൽ അസ് ന ചുഴലികാറ്റ് രൂപപ്പെടുന്നു,highly_relevant
U9hlWWrBJSo,ml,Cyclone Mocha intensifies Kerala likely to witness heavy rainfall for next 5 days ബംഗാള് ഉള് ക്കടലിലെ മോഖ,highly_relevant
Fhgny1rXPto,ml,മോക്ക ചുഴലിക്കൊപ്പം കേരളത്തിന് വമ്പൻ ചാകര ലഭിക്കുമെന്ന്,highly_relevant
5cfL2p5m86g,ml,kairalinews ബംഗ്ലാദേശ് മ്യാൻമർ എന്നീ,highly_relevant
qNGs9aluKJM,ml,കേരളത്തില് കനത്ത മഴ പെയ്യുമെന്ന് പ്രവചനം യാതൊരു,highly_relevant
JbryGOa7df4,en,The Prominent Malayalam News Television channel with value based journalism Widely and popularly known among Malayalee,not_relevant
Wfj9QBHVKdA,en,What if a Category 5 cyclone slammed into Kerala We explore the devastating potential impact of such a catastrophic event,highly_relevant
VGbEN6QofYs,ml,കേരളവും കരുതിയിരിക്കണം ഫിൻജാൽ ബാധിക്കുന്ന ഇടങ്ങളറിയാം Cyclone Fengal,highly_relevant
ljLebzHdamE,ml,Cyclone Ockhi Latest updates കൊടുങ്കാറ്റ് കന്യാകുമാരിയിൽ നാശം വിതക്കുമെന്ന്,highly_relevant
ybd4ugGyGeU,en,ikonesolutions,highly_relevant
0wMDRUJlWXE,ml,ആൻഡമാൻ കടലിലെ ന്യൂനമർദം നാളെ പുലർച്ചെയോടെ സിത്രംഗ്,highly_relevant
7cAEwUFLHdA,ml,Ockhi cyclone Maharashtra and Gujarat on high alert ചുഴലിക്കാറ്റ് മഹാരാഷ്ട്രയിലും,highly_relevant
M-0_Kgior-4,en,why don t we have tornadoes in Kerala whats is tornado how tornadoes are formed malayalam evening journey,not_relevant
gjpbPmK2Lj8,en,chuzahlikattu in kerala burevi cyclone in kerala ്ലാവർക്കും,highly_relevant
iA_9y3f3mD8,en,Asani Cyclone Chance of heavy rain in Kerala Yellow alert in four districts സംസ്ഥാനത്തെ വിവിധ,highly_relevant
DUx4zuiu59g,ml,മോക്ക ചുഴലിക്കാറ്റ് ശക്തി പ്രാപിക്കുന്നുവെന്ന് കേന്ദ്ര,highly_relevant
_0eKZO93MM0,en,The official YouTube channel for Manorama News Subscribe us to watch the missed episodes Subscribe to the,highly_relevant
ybEw5ahWEKQ,ml,കോഴിക്കോട് വെള്ളയിൽ ഹാർബറിൽ ചുഴലിക്കാറ്റ് വീശി വൻ നാശനഷ്ടം,highly_relevant
CtnR2aelXoE,en,ചുഴലിക്കാറ്റ് തീരത്തേക്ക് Kerala rain Chennai Rain weather Fengal Cyclone Tamilnadu rain,highly_relevant
0Ao2JyEs1b4,ml,FOCUSKERALA ചുഴലിക്കാറ്റ് റെഡ് മെസ്സേജ് കേരളത്തിൽ കനത്ത മഴ,highly_relevant
NW4ozrqUmaA,ml,Kerala Rain 2023 സംസ്ഥാനത്ത് കാലവർഷം ദുർബലമായി തുടരുന്നു ഇന്ന് നാല്,highly_relevant
Q-wBIf9R2jw,ml,സംസ്ഥാനത്ത് മലയോര മേഖലയില് ഇന്നും നാളെയും ഒറ്റപ്പെട്ട കനത്ത,highly_relevant
E8ce2mhaflQ,en,Kerala Cyclone Live Tracker അറബിക്കടലില് ചുഴലിക്കാറ്റ് Red Alert in 3 Districts,highly_relevant
TXgpCVMqFds,en,asianetnews Cyclone Burevi Kerala updates Subscribe to Asianet News YouTube Channel here,highly_relevant
xdSc9CuH-X0,en,The official YouTube channel for Manorama News Subscribe us to watch the missed episodes Subscribe to the,highly_relevant
NGMsULPZPKk,ml,,highly_relevant
