"How long do you have to evacuate after an earthquake?","Usually 15-30 minutes for nearby tsunamis, hours for distant sources."
"Who issues tsunami warnings?","National tsunami warning centers and local emergency management."
"What is a tsunami watch?","Tsunami possible based on earthquake data, stay alert for updates."
"What is a tsunami advisory?","Strong currents expected, stay out of water but evacuation not required."
"What is a tsunami warning?","Dangerous tsunami waves expected, immediate evacuation required."
"How are tsunami warnings distributed?","Sirens, radio, TV, cell phone alerts, social media."
"What should you do during a tsunami warning?","Evacuate immediately to high ground or inland."
"Should you wait to confirm tsunami before evacuating?","No, evacuate immediately based on natural signs or warning."
"What technology detects tsunamis?","Deep ocean buoys (DART), coastal tide gauges, seismographs."
"How do deep ocean buoys work?","Detect pressure changes on seafloor and transmit data via satellite."
"What is the DART system?","Deep-ocean Assessment and Reporting of Tsunamis buoy network."
"How accurate are tsunami warnings?","Very accurate for detection, but wave height and arrival time vary."
"Can tsunamis be predicted like weather?","No, they can only be detected after the triggering event."
"What should be in your tsunami emergency kit?","Water, food, flashlight, radio, first aid, important documents, sturdy shoes."
"How much water should you store for tsunamis?","1 gallon per person per day for at least 3 days."
"What type of radio is best for tsunami emergencies?","Battery-powered or hand-crank weather radio with alerts."
"What documents should you protect from tsunamis?","ID, insurance papers, medical records in waterproof container above flood level."
"Should you keep emergency supplies at work?","Yes, workplace kit with supplies for 72 hours."
"What shoes are best for tsunami evacuation?","Sturdy closed-toe shoes that won't slip off during running."
"How do you prepare your home for tsunamis?","Know evacuation routes, secure water heater, elevate utilities, have emergency kit."
"Should you elevate your house in tsunami zones?","Consider elevation on posts/pilings if feasible."
"What insurance covers tsunami damage?","Flood insurance may cover some tsunami damage, check policy details."
"How do you create a tsunami family plan?","Meeting places, evacuation routes, communication methods, out-of-area contact."
"Where should family members meet after tsunami?","High ground location away from coast that everyone can reach."
"How do you practice tsunami evacuation?","Walk evacuation routes, time it, practice at different times."
"What if family members are separated during tsunami?","Use predetermined meeting places and out-of-state contact person."
"How do you prepare pets for tsunami evacuation?","Carriers, leashes, food, water, medications, identification tags."
"Can you drive during tsunami evacuation?","Only if necessary; traffic may be gridlocked - walking is often faster."
"What if you're at the beach when earthquake occurs?","Drop, cover, hold, then immediately move to high ground."
"What if you're in a boat during tsunami warning?","If deep water, stay; if near shore, get to land and move inland."
"How high is safe during tsunami evacuation?","At least 30 meters (100 feet) above sea level or 2 km inland."
"What if no high ground is available?","Move inland as far as possible, or to upper floors of strong buildings."
"Should you use elevators during tsunami evacuation?","No, use stairs in case power fails."
"What if you're driving when tsunami warning issued?","Park safely, grab emergency kit, evacuate on foot to high ground."
"Can you outrun a tsunami in a car?","Unlikely due to speed and traffic; evacuate on foot when possible."
"What if evacuation routes are blocked?","Find alternate route to high ground, avoid returning to danger."
"Should you help others during evacuation?","Yes if safe, but prioritize your own safety."
"What if you encounter an injured person during evacuation?","Help if possible, but get yourself to safety first."
"How do you evacuate with mobility limitations?","Plan assistance, use wheelchairs/walkers, seek help."
"What if you're caring for small children during evacuation?","Carry infants, hold toddlers' hands, practice regularly."
"Should elderly or disabled people evacuate?","Yes, plan assistance and transportation in advance."
"What if you can't reach designated evacuation area?","Get to highest ground or upper floors of buildings."
"What do you do if caught in tsunami water?","Grab floating debris, protect head, try to swim to safety."
"Can you swim in tsunami water?","Very difficult due to debris and currents - avoid if possible."
"What if tsunami water is rising around you?","Climb to highest point, call for help, avoid electrical hazards."
"Should you enter buildings during tsunami?","Only strong, tall buildings as last resort; high ground is safer."
"What if you're swept away by tsunami?","Grab something that floats, protect head, try to reach safety."
"Can you survive being in tsunami water?","Possible but dangerous due to debris, contamination, and currents."
"What if you're trapped in building during tsunami?","Get to highest floor, signal for help, stay away from windows."
"Should you go back for belongings during tsunami?","Never, your life is more important than material possessions."
"What if you forgot someone during evacuation?","Don't return; notify emergency responders."
"How long should you stay in evacuation area?","Until authorities give all-clear, usually several hours after last wave."
"What if you hear tsunami siren during evacuation?","Continue evacuation immediately; siren means imminent danger."
"Can you drink tsunami water?","Never; it's contaminated with saltwater, debris, and hazardous materials."
"What if you're hungry during long evacuation?","Ration emergency food supplies; help may take hours to arrive."
"Should you use cell phone during tsunami?","Only for emergencies; preserve battery and avoid overloading networks."
"When is it safe to return after tsunami?","Only when authorities give official all-clear and inspect hazards."
"What should you check first after returning?","Structural damage, electrical hazards, gas leaks, contaminated water."
"How do you check for gas leaks after tsunami?","Smell for gas, listen for hissing, turn off valve, call gas company."
"What if your house was flooded by tsunami?","Don't enter until inspected; assume contamination; document damage."
"Should you drink tap water after tsunami?","Not until authorities confirm safety; use bottled or boiled water."
"How do you clean up after tsunami?","Wear protective gear, remove contaminated materials, disinfect surfaces."
"What should you throw away after tsunami?","Food that contacted water, damaged electrical items, porous materials."
"How do you deal with tsunami debris?","Report large debris to authorities, avoid hazardous materials."
"What if utilities are damaged after tsunami?","Don't use until professionally inspected."
"Should you enter your car after tsunami?","Have it inspected first; saltwater damages electrical and mechanical systems."
"How do you document tsunami damage for insurance?","Take photos/videos before cleanup, keep receipts, contact insurer."
"What emotional reactions are normal after tsunami?","Anxiety, sadness, anger, difficulty sleeping - normal stress responses."
"When should you seek mental health help after tsunami?","If symptoms persist or interfere with daily functioning."
"How do you help children cope with tsunami trauma?","Provide comfort, maintain routines, give honest age-appropriate information."
"What if you lost important documents in tsunami?","Contact agencies to replace ID, insurance papers, medical records."
"How do you find missing family members after tsunami?","Contact Red Cross, check shelters, use social media safely."
"What assistance is available after tsunamis?","FEMA aid, Red Cross, local charities, insurance claims."
"How long does tsunami recovery take?","Months to years depending on damage severity and resources."
"Should you rebuild in same location after tsunami?","Consider elevation, setbacks, and improved construction methods."
"What is tsunami-resistant construction?","Elevated structures, breakaway walls, reinforced materials, proper drainage."
"How do you make existing building more tsunami-resistant?","Elevate utilities, install flood vents, strengthen foundation, create escape routes."
"What landscaping helps with tsunamis?","Native vegetation, natural barriers, avoid hard surfaces that increase runup."
"Should coastal communities have seawalls?","Can help but may create false security, not effective against large tsunamis."
"What is vertical evacuation?","Going up in buildings when horizontal evacuation impossible."
"How high should vertical evacuation buildings be?","At least 4 stories or designed to withstand expected tsunami forces."
"What makes a good tsunami evacuation building?","Reinforced concrete, steel frame, above expected wave height, multiple exits."
"How do you design tsunami evacuation routes?","Wide, clear paths to high ground with minimal obstacles."
"Should evacuation routes have signs?","Yes, clear multilingual signs showing direction and distance to safety."
"What role do natural barriers play?","Mangroves, coral reefs, and dunes reduce tsunami energy but do not stop it."
"How do communities educate about tsunami risk?","Public drills, campaigns, school programs, warning system tests."
"What is TsunamiReady certification?","NOAA program recognizing communities with effective tsunami preparedness."
"How often should communities practice tsunami drills?","At least annually, more frequently in high-risk areas."
"What should schools do for tsunami preparedness?","Evacuation plans, regular drills, parent notification systems, elevated safe areas."
"How do hotels prepare for tsunamis?","Guest education, evacuation plans, staff training, emergency supplies."
"What should hospitals do in tsunami zones?","Elevation planning, backup power, patient evacuation procedures, staff training."
"How do ports and harbors prepare for tsunamis?","Warning systems, vessel evacuation plans, infrastructure protection, emergency response."
"What is international tsunami cooperation?","Sharing warning data, research cooperation, standardized alert systems."
"What is the Pacific Tsunami Warning Center?","International center monitoring Pacific Ocean for tsunami threats."
"How do different countries share tsunami warnings?","Through regional warning networks and international communication protocols."
"What research is improving tsunami science?","Computer modeling, historical studies, geological research, early warning technology."
"How do scientists study past tsunamis?","Sediment deposits, coral growth patterns, historical records, geological evidence."
"What is paleotsunamiology?","Study of prehistoric tsunamis using geological and biological evidence."
"How do tsunami models work?","Computer simulations of wave generation, propagation, and coastal impact."
"What new technology is being developed?","Faster detection systems, improved modeling, better warning dissemination."
"Can artificial intelligence help with tsunamis?","AI can improve wave prediction, optimize evacuation routes, analyze risk patterns."
"What is community-based tsunami warning?","Local systems that complement official warnings with neighborhood networks."
"How do you maintain long-term tsunami preparedness?","Regular plan updates, continued education, equipment maintenance, community engagement."
"What is tsunami risk assessment?","Scientific evaluation of tsunami probability and potential impact for specific areas."
"How do you balance development with tsunami risk?","Zoning restrictions, building codes, setback requirements, risk disclosure."
"What is the role of education in tsunami preparedness?","Teaching recognition of natural warnings and appropriate response actions."
"How do you update tsunami preparedness plans?","Regular reviews, incorporate lessons learned, update contact information, practice drills."
"What makes tsunami preparedness successful?","Community awareness, effective warning systems, clear evacuation routes, regular practice."
"Should you trust traditional knowledge about tsunamis?","Yes, indigenous knowledge often contains valuable insights about historical events."
"How do you prepare for night-time tsunamis?","Flashlights ready, know evacuation routes by feel, practice in darkness."
"What if tsunami occurs during bad weather?","Still evacuate immediately, seek sturdy shelter on high ground."
"Can small tsunamis be dangerous?","Yes, even small waves can have powerful currents and cause drowning."
"What is the difference between tsunami and storm surge?","Tsunamis caused by geological events, storm surge caused by weather."
"How do you distinguish tsunami from normal waves?","Tsunamis affect entire water column, have longer periods, continue for hours."
"What if you live inland but near tsunami evacuation zone?","You may still need to evacuate if in low-lying river valley."
"Can rivers carry tsunami waves inland?","Yes, tsunamis can travel up rivers and cause flooding miles from coast."
"What is tsunami sediment and why is it dangerous?","Sand and debris carried by waves can bury areas and contain contaminants."
"How do you prepare for cascading disasters after tsunamis?","Plan for fires, chemical spills, and infrastructure failures that may follow."
"What if a nuclear plant is damaged by tsunami?","Follow evacuation orders, take potassium iodide if directed, monitor radiation levels."
"Should you stay informed about global earthquake activity?","Yes, large distant earthquakes can generate tsunamis hours later."
"What is the most important tsunami safety rule?","When in doubt, get out - evacuate to high ground immediately."
"How do you remember tsunami safety basics?","Think DROP (earthquake), CHECK (natural signs), GO (evacuate to high ground)."
"Question","Answer"
"What is storm surge?","Rise in sea level caused by strong winds pushing water toward shore."
"What causes storm surge?","Hurricane or tropical storm winds combined with low atmospheric pressure."
"How does low pressure contribute to storm surge?","Low pressure allows sea level to rise like water being sucked up through straw."
"How high can storm surge reach?","Up to 9 meters (30 feet) in extreme hurricanes, typically 1-6 meters."
"What factors determine storm surge height?","Wind speed, storm size, approach angle, coastal bathymetry, and tide level."
"What is the most dangerous aspect of hurricanes?","Storm surge causes approximately 50% of hurricane fatalities."
"How far inland can storm surge travel?","Up to 25 kilometers inland on flat coastal plains."
"What is storm tide?","Storm surge height combined with normal astronomical tide."
"Does storm surge occur only during hurricanes?","No, any strong storm system can generate surge including nor'easters."
"What is wind setup?","Water pushed toward shore by sustained winds before storm arrives."
"How does coastal shape affect storm surge?","Funnel-shaped bays and estuaries amplify surge height significantly."
"What is wave setup?","Additional water level rise caused by breaking waves on top of surge."
"What are the different types of flooding?","Coastal, riverine, flash, urban, groundwater, and dam failure flooding."
"What causes flash flooding?","Heavy rainfall that exceeds ground absorption and drainage capacity."
"How quickly can flash floods develop?","Within minutes to hours of heavy rainfall."
"What is riverine flooding?","Overflow of rivers and streams due to prolonged or heavy rainfall."
"What is urban flooding?","Surface water flooding in cities due to overwhelmed drainage systems."
"What causes groundwater flooding?","Prolonged rainfall raising water table above ground level."
"What is a 100-year flood?","Flood with 1% chance of occurring in any given year."
"What is a 500-year flood?","Flood with 0.2% chance of occurring in any given year."
"Are flood zones permanent?","No, FEMA updates flood maps as conditions and development change."
"What is base flood elevation?","Water level of 100-year flood used for building and insurance requirements."
"How are storm surge zones determined?","Computer modeling of worst-case scenarios for different hurricane categories."
"What is SLOSH model?","Sea, Lake, and Overland Surges from Hurricanes computer prediction model."
"Who creates storm surge forecast maps?","National Hurricane Center using SLOSH and other advanced models."
"How accurate are storm surge predictions?","Generally accurate for height, timing can vary by several hours."
"When are storm surge warnings issued?","When life-threatening surge expected within 36 hours."
"What should you do when storm surge warning issued?","Evacuate immediately if in surge zone, move to higher ground."
"Should you evacuate from wind or water?","Always evacuate from water (storm surge), shelter in place from wind."
"What is mandatory evacuation for storm surge?","Legal order to leave surge-prone areas due to life-threatening conditions."
"How do you know if you're in storm surge evacuation zone?","Check local emergency management maps and evacuation zone designations."
"What should be in your storm surge emergency kit?","Water, food, flashlight, radio, first aid, medications, important documents."
"How much advance notice do you get for storm surge?","Usually 12-36 hours depending on storm speed and forecast confidence."
"Should you board up windows for storm surge?","Focus on evacuation first, boarding helps with wind but not surge."
"How do you prepare your home for storm surge?","Elevate utilities, secure outdoor items, turn off utilities if evacuating."
"What documents should you protect from storm surge?","Insurance papers, IDs, medical records in waterproof container above surge level."
"Should you fill bathtubs before storm surge?","Only if staying inland, not helpful if evacuating surge zones."
"How do you prepare pets for storm surge evacuation?","Carriers, food, water, medications, vaccination records, identification."
"What if shelters don't accept pets during storm surge?","Plan with pet-friendly hotels or friends outside evacuation zones."
"Should you drive through storm surge evacuation?","Only to get out of surge zone, then shelter from wind elsewhere."
"When should you leave surge evacuation zone?","As soon as warning issued, before tropical storm force winds arrive."
"What if you can't evacuate from storm surge zone?","Go to highest floor of strongest building, away from surge-side windows."
"Should you stay with neighbors during storm surge?","Only if their location is safer and outside evacuation zone."
"How do you create storm surge family plan?","Identify if in surge zone, evacuation routes, meeting places, communication."
"What should children know about storm surge?","Difference between surge and regular flooding, evacuation procedures, meeting places."
"How high above sea level is safe from storm surge?","At least 6-10 meters depending on local storm surge history and projections."
"What if you live in mobile home during storm surge?","Always evacuate, mobile homes cannot withstand surge or hurricane winds."
"Should you use sandbags for storm surge?","Ineffective against surge, focus on evacuation rather than property protection."
"Can you drive during storm surge flooding?","Never drive through any flood water, even if it looks shallow."
"What is the rule about driving in flood water during storm surge?","Turn around, don't drown - find alternate evacuation route."
"How deep water can float a car during storm surge?","Just 12 inches can float most cars, 18 inches can sweep them away."
"What if your evacuation route floods during storm surge?","Find alternate route to high ground, don't attempt to drive through water."
"Should you walk through storm surge water?","Never, you can't see depth, debris, or electrical hazards."
"What if you're caught in rising storm surge water?","Get to highest available point immediately, call for help if possible."
"Can you swim in storm surge?","Extremely dangerous due to debris, currents, and contaminated water."
"What should you do if trapped by storm surge?","Get to highest floor, signal for help, avoid electrical hazards."
"How do you signal for help during storm surge?","Bright clothing, flashlight, cell phone, whistle, anything visible or audible."
"What if storm surge enters your safe room?","Move to highest point available, attic if accessible with escape route."
"Should you go on roof during storm surge?","Only as last resort and ensure you can get down safely."
"What if you smell gas during storm surge?","Turn off main valve if accessible, evacuate area, call from safe location."
"Can you use electricity during storm surge flooding?","Never touch electrical equipment in flood water, risk of electrocution."
"What if carbon monoxide alarm sounds during storm surge?","Get fresh air immediately, don't use generators or grills indoors."
"Should you drink storm surge flood water?","Never, it's contaminated with sewage, chemicals, and saltwater."
"What if you run out of food during storm surge event?","Ration supplies, wait for emergency services, don't venture into flood water."
"How do you stay warm if power out during storm surge?","Layer clothing, blankets, body heat, never use grills or camp stoves indoors."
"What if someone gets injured during storm surge?","Provide first aid if safe, call 911 if possible, wait for rescue if trapped."
"Should you help others during storm surge?","Only if you can do so safely without entering flood water."
"What if you hear people calling for help during storm surge?","Call 911 to report location, don't attempt water rescue unless trained."
"How long does storm surge typically last?","Several hours during storm passage, can persist if winds remain onshore."
"When is it safe to go outside after storm surge?","Only when authorities give all-clear and flood waters have receded."
"What should you check first after storm surge?","Structural damage, electrical hazards, gas leaks, water contamination."
"How do you check for storm surge damage safely?","Wear protective gear, assume utilities damaged, document with photos."
"Should you enter your house after storm surge?","Not until inspected for structural damage and electrical hazards."
"What if storm surge damaged your electrical system?","Don't use until professionally inspected, assume all outlets contaminated."
"How do you check for gas leaks after storm surge?","Smell for gas, listen for hissing, don't use matches or lighters to check."
"What should you throw away after storm surge?","Food that contacted flood water, damaged electronics, porous materials."
"How do you clean up after storm surge?","Wear protective equipment, remove wet materials quickly, disinfect thoroughly."
"Is storm surge water contaminated?","Yes, contains sewage, chemicals, debris, and harmful bacteria."
"How do you disinfect after storm surge?","Use bleach solution, throw away porous items, clean all surfaces."
"What if wells contaminated by storm surge?","Don't use until tested and treated, use bottled water."
"Should you drink tap water after storm surge?","Not until authorities confirm water system is safe and operational."
"How do you document storm surge damage?","Take photos/videos before cleanup, keep receipts, contact insurance immediately."
"What insurance covers storm surge damage?","Flood insurance covers surge damage, homeowners insurance typically doesn't."
"How quickly should you file storm surge insurance claims?","As soon as safely possible, within policy time limits."
"What if you disagree with storm surge damage assessment?","Request re-inspection, hire public adjuster, document all damage thoroughly."
"How do you find temporary housing after storm surge?","FEMA assistance, insurance coverage, Red Cross shelters, family/friends."
"What assistance is available after storm surge?","FEMA disaster aid, SBA loans, Red Cross support, local charity help."
"How do you apply for FEMA assistance after storm surge?","Online at disasterassistance.gov, by phone, or at disaster recovery centers."
"What does FEMA cover for storm surge damage?","Temporary housing, home repairs, personal property replacement, medical expenses."
"How long does storm surge recovery take?","Months to years depending on damage extent and available resources."
"What emotional effects are common after storm surge?","Anxiety, depression, sleep problems, stress - all normal disaster reactions."
"When should you seek mental health help after storm surge?","If symptoms persist or interfere with daily functioning for weeks."
"How do you help children cope with storm surge trauma?","Maintain routines, provide comfort, give age-appropriate information."
"What if you lost important documents in storm surge?","Contact agencies to replace identification, insurance papers, medical records."
"How do you prevent mold after storm surge?","Remove wet materials within 24-48 hours, dry thoroughly, use dehumidifiers."
"What health risks come from storm surge cleanup?","Contaminated water exposure, mold, physical injury, carbon monoxide."
"Should you hire contractors immediately after storm surge?","Research carefully, beware of price gouging and unlicensed contractors."
"How do you make your home more storm surge resistant?","Elevate structure, flood vents, sump pumps, waterproof barriers."
"What is dry floodproofing?","Sealing building to prevent water entry up to certain depth."
"What is wet floodproofing?","Allowing water to enter/exit freely to prevent structural damage."
"Should you elevate your home above storm surge levels?","Consider if in flood-prone area, may significantly reduce insurance costs."
"What are flood vents?","Openings that allow water to flow through foundation to prevent damage."
"How do sump pumps help with storm surge?","Remove water that enters basement or lower levels."
"What utilities should be elevated above storm surge levels?","Furnace, water heater, electrical panels, air conditioning units."
"What landscaping helps reduce storm surge impact?","Native vegetation, permeable surfaces, rain gardens, natural barriers."
"Do seawalls stop storm surge?","Can reduce impact but not effective against major surge, may increase erosion."
"What is living shoreline approach to storm surge?","Using natural materials like oyster reefs and marsh grass for protection."
"How do communities prepare for storm surge?","Evacuation planning, warning systems, building codes, public education."
"What are storm surge evacuation routes?","Pre-planned roads that safely move people away from surge-prone areas."
"How do evacuation zones work for storm surge?","Areas categorized by surge risk requiring evacuation for different storm strengths."
"What makes effective storm surge evacuation?","Clear zones, multiple routes, adequate time, public education."
"How do emergency shelters prepare for storm surge evacuees?","Capacity planning, supplies, registration systems, pet accommodations."
"What should schools do in storm surge zones?","Have evacuation plans, practice drills, coordinate with emergency management."
"How do hospitals prepare for storm surge?","Backup power above surge levels, evacuation plans, supply stockpiles."
"What should businesses do about storm surge risk?","Continuity planning, employee safety, property protection, insurance review."
"How do ports prepare for storm surge?","Secure vessels, protect infrastructure, coordinate with maritime traffic."
"What is storm surge modeling used for?","Predicting surge heights, evacuation planning, building codes, land use."
"How accurate are storm surge computer models?","Generally good for height prediction, less precise for timing and location."
"What data improves storm surge forecasting?","Historical surge records, detailed coastal mapping, real-time water level data."
"How does climate change affect storm surge?","Sea level rise increases baseline, potentially stronger storms create higher surge."
"What is relative sea level rise?","Local sea level change including land subsidence and global sea level rise."
"How do you stay informed about storm surge risk?","Monitor weather alerts, know your evacuation zone, understand local geography."
"What apps help with storm surge information?","Weather apps, emergency alert apps, FEMA app, local emergency management apps."
"Should you trust social media for storm surge information?","Only verified official sources, ignore rumors and unconfirmed reports."
"How do you prepare for overnight storm surge?","Have flashlights ready, know evacuation routes, listen to weather radio."
"What if storm surge occurs during high tide?","Creates storm tide - much higher water levels and greater inland penetration."
"Can storm surge affect areas not directly on coast?","Yes, can travel up rivers and bays, affecting inland waterfront areas."
"What is back-door surge?","Water pushed into bays and rivers from opposite side of storm."
"How do you distinguish storm surge from regular flooding?","Surge is coastal and storm-related, often has saltwater and marine debris."
"What if multiple storms cause repeated storm surge?","Cumulative damage, weakened structures, saturated soils increase risk."
"Should you return home immediately after storm surge?","Only when authorities declare area safe and accessible."
"What if roads are damaged by storm surge?","Wait for repair crews, don't drive around barriers or through damaged areas."
"How do you help community recover from storm surge?","Volunteer safely, donate to reputable charities, support local businesses."
"What lessons help prevent future storm surge damage?","Proper evacuation, elevated construction, natural barriers, early warning compliance."
"How do you maintain storm surge preparedness year-round?","Update plans annually, maintain supplies, stay informed about risk changes."
"What is most important storm surge safety rule?","When ordered to evacuate, go immediately - storm surge can be deadly."
"How do you remember storm surge basics?","Know your zone, have a plan, heed the call - evacuate when ordered."
"Question","Answer"
"How can people with mobility challenges evacuate safely?","Plan in advance with accessible transportation, elevators if safe, and assistance from volunteers."
"What precautions should hospitals take for storm surge?","Backup power above surge levels, patient evacuation plans, and stockpile essential medical supplies."
"How should nursing homes prepare for storm surge?","Develop evacuation plans, train staff, secure transportation, and maintain emergency supplies."
"What role does public transit play in surge evacuation?","Buses, trains, and ferries may be used to move people out of surge zones safely."
"How are bridges and tunnels affected by storm surge?","Can be flooded or structurally compromised, may be closed during evacuation."
"Can airports be impacted by storm surge?","Yes, low-lying runways may flood, delaying flights and emergency transport."
"How do ports prepare for storm surge?","Secure vessels, protect equipment, suspend operations, and follow emergency protocols."
"What is the role of community volunteers during surge?","Assist with evacuations, distribute supplies, report hazards, and support first responders."
"How can local NGOs help during storm surge events?","Provide emergency shelter, food, medical care, and aid in recovery efforts."
"How can neighbors help each other safely?","Check on vulnerable residents, share transportation, and communicate evacuation plans."
"How does storm surge affect farmland?","Saltwater intrusion can damage crops, soil fertility, and irrigation systems."
"Can storm surge cause beach erosion?","Yes, strong waves and surge can wash away sand and reshape coastlines."
"What impact does storm surge have on wildlife?","Flooding can destroy habitats, displace animals, and contaminate water sources."
"How does storm surge affect fisheries?","Damage to boats, equipment, and coastal hatcheries can disrupt livelihoods."
"What technology monitors storm surge in real-time?","Tide gauges, coastal sensors, buoys, and satellite data help track water levels."
"How does GIS mapping help during storm surge?","Maps flood-prone areas, evacuation routes, and shelters to improve planning and response."
"Which mobile apps provide surge alerts?","FEMA app, local emergency management apps, and weather alert apps."
"What is a living shoreline approach to storm surge?","Using natural materials like marsh grass or oyster reefs to reduce wave energy."
"How should volunteers coordinate rescues?","Follow official instructions, avoid floodwater if untrained, and communicate locations to authorities."
"What are common myths about sandbags?","Sandbags help slow minor flooding but cannot stop major storm surge."
"Is it safe to stay on upper floors during storm surge?","Only if evacuation is impossible; highest ground outside is safer if accessible."
"Can you drive through surge water safely?","No, even shallow water can sweep vehicles away; always evacuate on foot if possible."
"Is it safe to swim during storm surge?","No, currents, debris, and contamination make swimming extremely dangerous."
"How should schools prepare for storm surge?","Evacuation drills, parent communication plans, and safe shelter locations above surge level."
"How should businesses prepare for surge risk?","Continuity planning, employee safety measures, elevated utilities, and insurance review."
"What is dry floodproofing for buildings?","Sealing the structure to prevent water entry up to a certain depth."
"What is wet floodproofing for buildings?","Allowing water to enter and exit freely to prevent structural damage."
"Which utilities should be elevated above surge levels?","Furnaces, water heaters, electrical panels, and HVAC units."
"How can landscaping reduce storm surge impact?","Use native vegetation, permeable surfaces, and natural barriers to slow water flow."
"Can seawalls prevent all surge damage?","No, they reduce impact but cannot stop major storm surges."
"What is back-door surge?","Water pushed into bays and rivers from the opposite side of the storm."
"How can repeated storms affect surge-prone areas?","Cumulative damage weakens structures and increases flooding risk."
"How do you stay informed during surge events?","Monitor official alerts via radio, apps, and emergency management channels."
"What should children know about surge safety?","Difference between surge and normal flooding, evacuation procedures, and meeting points."
"How should pets be prepared for storm surge?","Carriers, food, water, medications, and identification tags for safe evacuation."
"How can community education improve surge safety?","Teaching natural warning signs, evacuation routes, and emergency procedures."
"What is the impact of climate change on storm surge?","Sea level rise and stronger storms can increase surge height and inland penetration."
"How can volunteers avoid hazards during recovery?","Wear protective gear, avoid floodwater, and follow official safety guidance."
"How do you prevent mold after storm surge?","Remove wet materials quickly, dry thoroughly, and use dehumidifiers."
"What health risks exist during cleanup?","Contaminated water exposure, injury, chemical hazards, and electrical risks."
"How do you document damage for insurance?","Take photos and videos before cleanup, keep receipts, and contact insurers promptly."
"How can temporary housing be found after surge?","FEMA shelters, insurance coverage, friends/family, or disaster relief centers."
"How long does recovery usually take?","Months to years depending on damage severity and available resources."
"How can mental health be supported post-surge?","Counseling, maintaining routines, community support, and monitoring for stress symptoms."
"Should you return home immediately after surge?","Only when authorities declare the area safe and accessible."
"How can communities prepare long-term for storm surge?","Update evacuation plans, maintain warning systems, enforce building codes, and educate residents."
"How do you remember storm surge safety basics?","Know your zone, have an emergency plan, heed official orders, and evacuate promptly."
"Question","Answer"
"What should you do if a storm surge hits at night?","Keep flashlights ready, know evacuation routes by feel, and evacuate immediately."
"What if a surge occurs during heavy rain?","Evacuate quickly, avoid driving in flooded areas, and follow emergency routes."
"What if multiple storms hit in succession?","Expect cumulative flooding, weakened structures, and delayed recovery; evacuate each time."
"What if surge floods the only road out?","Find alternative route or move to highest safe building if escape is impossible."
"What if bridges collapse during surge?","Do not attempt to cross; seek alternate route or vertical evacuation in tall buildings."
"What if surge traps you in your home?","Move to highest floor, signal for help, and avoid windows and electrical hazards."
"What if surge causes power outage?","Use battery-powered devices, avoid floodwater, and ration supplies."
"What if surge hits while you are at work?","Evacuate via designated routes, follow workplace emergency plan, and assist colleagues if safe."
"What if surge hits a mobile home community?","Evacuate immediately; mobile homes cannot withstand storm surge."
"What if pets panic during evacuation?","Use carriers, leashes, and keep them calm; never leave them behind."
"What if surge floods evacuation shelters?","Move to secondary shelter, follow official guidance, and avoid floodwater."
"What if you are on a boat during storm surge?","If deep water, stay there; if near shore, move inland immediately."
"What if surge coincides with high tide?","Expect higher storm tide; evacuate earlier and further inland than usual."
"What if surge affects inland rivers?","Evacuate low-lying river valleys; surge can travel miles upstream."
"What if roads are blocked by debris?","Find alternate routes, do not attempt to drive through blocked areas."
"What if floodwaters contain hazardous chemicals?","Avoid contact, evacuate immediately, and report hazards to authorities."
"What if sewage contaminates water after surge?","Do not drink or touch floodwater; use bottled or boiled water only."
"What if storm surge damages gas lines?","Turn off main valve if safe, evacuate, and call emergency services from a safe location."
"What if storm surge floods your car?","Abandon vehicle and move to higher ground; even shallow water can sweep cars away."
"What if surge traps you on upper floors?","Signal for help, move away from windows, and wait for rescue."
"What if children are separated during surge evacuation?","Go to pre-arranged meeting points and notify emergency services."
"What if elderly neighbors cannot evacuate?","Assist safely, coordinate with authorities or community volunteers."
"What if surge blocks public transit?","Walk to high ground if safe, or move to vertical evacuation buildings."
"What if medical supplies are inaccessible during surge?","Bring emergency kit with medications, first aid, and prescriptions in waterproof bag."
"What if surge damages water supply?","Use bottled or boiled water, avoid using contaminated taps until cleared."
"What if surge cuts off communication?","Use battery-powered radio, SMS, or emergency channels; conserve phone battery."
"What if surge damages your roof?","Move to strongest part of building, avoid weakened areas, and signal for help."
"What if floodwater contains dangerous wildlife?","Avoid contact, move to high ground, and call authorities if needed."
"What if surge occurs in urban area?","Expect fast-flowing water, debris, and blocked streets; evacuate on foot if possible."
"What if surge coincides with landslide-prone areas?","Evacuate immediately, avoid slopes, and follow official landslide warnings."
"What if surge traps you in a hospital?","Move patients to upper floors, avoid elevators, and coordinate with emergency management."
"What if storm surge damages elevators?","Use stairs only if safe, otherwise move to highest accessible floor."
"What if surge affects fire stations?","Coordinate with emergency management; use alternate stations if needed."
"What if surge causes widespread flooding in shopping centers?","Seek highest area, avoid floodwater, and wait for rescue."
"What if surge hits construction sites?","Evacuate, avoid machinery and trenches, and follow site emergency plan."
"What if surge hits nightclubs or theaters?","Use emergency exits immediately, avoid panic, and move to high ground."
"What if surge damages critical infrastructure?","Follow official guidance, avoid unsafe areas, and report hazards."
"What if surge floods critical road intersections?","Find alternate evacuation routes, avoid driving through water."
"What if surge impacts airports mid-flight?","Flights may be delayed or diverted; follow airline and official emergency guidance."
