"सामुदायिक आपातकालीन किट में क्या शामिल होना चाहिए?","पानी, भोजन, प्राथमिक चिकित्सा, फ्लैशलाइट, बैटरी, कंबल, और संचार उपकरण।"
"स्वयंसेवक चक्रवात प्रतिक्रिया के दौरान कैसे मदद कर सकते हैं?","निकासी में सहायता, राहत वितरण, आश्रयगृहों में मदद, और प्राथमिक चिकित्सा प्रदान करना।"
"चक्रवात के दौरान स्थानीय गैर सरकारी संगठनों की क्या भूमिका है?","राहत का समन्वय, आपातकालीन आपूर्ति प्रदान करना, और कमजोर आबादी का समर्थन करना।"
"सोशल मीडिया चक्रवात प्रतिक्रिया में कैसे सहायता कर सकता है?","अलर्ट फैलाना, वास्तविक समय अपडेट प्रदान करना, और फंसे व्यक्तियों का पता लगाने में मदद करना।"
"प्रारंभिक चेतावनी प्रणाली की क्या भूमिका है?","जीवन और संपत्ति के नुकसान को कम करने के लिए समय पर अलर्ट प्रदान करना।"
"चक्रवात के दौरान नावों को कैसे सुरक्षित करना चाहिए?","सुरक्षित बंदरगाह में ले जाएं या बहने और नुकसान को रोकने के लिए मजबूती से बांधें।"
"चक्रवात की भविष्यवाणी होने पर मछुआरों को क्या करना चाहिए?","तुरंत बंदरगाह वापस आना, नावों को सुरक्षित करना, और तूफानी समुद्र में जाने से बचना।"
"चक्रवात प्रतिरोधी संरचनाएं नुकसान कैसे कम करती हैं?","वे तेज हवाओं, तूफान लहरों, और उड़ते मलबे का सामना करती हैं, जीवन और संपत्ति की रक्षा करती हैं।"
"प्राथमिक और द्वितीयक खतरों के बीच क्या अंतर है?","प्राथमिक खतरे प्रत्यक्ष हैं (हवा, लहर), द्वितीयक खतरे अप्रत्यक्ष हैं (बाढ़, बीमारी)।"
"सामुदायिक अभ्यास तैयारी कैसे सुधार सकते हैं?","निकासी, संचार, और संसाधन प्रबंधन का अभ्यास वास्तविक घटनाओं के दौरान भ्रम कम करता है।"
"जलवायु परिवर्तन चक्रवात तीव्रता को कैसे प्रभावित करता है?","गर्म समुद्र तूफान की तीव्रता और वर्षा बढ़ा सकते हैं, चक्रवात को अधिक विनाशकारी बना सकते हैं।"
"निम्न भूमि क्षेत्र सबसे कमजोर क्यों हैं?","वे बाढ़ और तूफान लहर के लिए प्रवण हैं, संपत्ति क्षति और मौतों का जोखिम बढ़ाते हैं।"
"चक्रवात रिकवरी में बीमा की क्या भूमिका है?","संपत्ति क्षति को कवर करना, घरों के पुनर्निर्माण में मदद करना, और पीड़ितों को वित्तीय सहायता प्रदान करना।"
"चक्रवात के दौरान सौर ऊर्जा का उपयोग कैसे किया जा सकता है?","पोर्टेबल सोलर पैनल ग्रिड फेल होने पर आपातकालीन बिजली प्रदान कर सकते हैं।"
"चक्रवात के बाद मानसिक स्वास्थ्य को कैसे संबोधित करना चाहिए?","आघात और तनाव का प्रबंधन करने के लिए परामर्श, सहायता समूह, और सामुदायिक संसाधन प्रदान करना।"
"चक्रवात क्षति का दस्तावेजीकरण करने का क्या महत्व है?","बीमा दावों, सरकारी सहायता, और भविष्य की शमन योजना के लिए आवश्यक।"
"चक्रवात के दौरान तटबंध और समुद्री दीवारें कैसे मदद करती हैं?","वे बाढ़ कम करती हैं, पानी को मोड़ती हैं, और समुदायों को तूफान लहर से बचाती हैं।"
"उचित जल निकासी प्रणाली का क्या महत्व है?","जल जमाव रोकता है, बाढ़ क्षति कम करता है, और स्वच्छ स्थिति बनाए रखता है।"
"बाढ़ के बाद पानी को कैसे शुद्ध करना चाहिए?","जल जनित बीमारियों से बचने के लिए उबालें, शुद्धीकरण गोलियों का उपयोग करें, या फिल्टर करें।"
"समुदाय मलबे का सुरक्षित रूप से प्रबंधन कैसे कर सकते हैं?","खतरनाक कचरे को अलग करना, सुरक्षा गियर का उपयोग करना, और हटाने के लिए अधिकारियों के साथ समन्वय करना।"
"स्थानीय सरकारी एजेंसियां चक्रवात के दौरान कैसे समन्वय करती हैं?","जानकारी साझा करना, संसाधन प्रबंधन, निकासी का नेतृत्व, और जनता के साथ संचार।"
"रिवर्स 911 क्या है?","खतरों और निकासी आदेशों के बारे में निवासियों को सूचित करने के लिए स्वचालित प्रणाली कॉल करना।"
"निकासी के दौरान वाहनों का उपयोग कैसे करना चाहिए?","बाढ़ के क्षेत्रों से गुजरने से बचना, नामित मार्गों का पालन करना, और ईंधन बनाए रखना।"
"बैकअप संचार चैनल का क्या महत्व है?","प्राथमिक नेटवर्क फेल होने पर निरंतर सूचना प्रवाह सुनिश्चित करना।"
"आपातकालीन आश्रयगृह विशेष आवश्यकता वाली आबादी का समर्थन कैसे कर सकते हैं?","सुलभ सुविधाएं, चिकित्सा देखभाल, और गतिशीलता या श्रवण-बाधित व्यक्तियों के लिए सहायता प्रदान करना।"
"परिवार के लिए गो-बैग में मुख्य वस्तुएं क्या हैं?","पानी, भोजन, दवाएं, कपड़े, महत्वपूर्ण दस्तावेज, फ्लैशलाइट, और बैटरी चालित रेडियो।"
"शिक्षक छात्रों को चक्रवात के बारे में कैसे शिक्षित कर सकते हैं?","कक्षा पाठ, अभ्यास, और खतरों और सुरक्षा पर आकर्षक शैक्षिक सामग्री।"
"चक्रवात प्रबंधन के मुख्य चरण क्या हैं?","तैयारी, प्रतिक्रिया, रिकवरी, और शमन।"
"स्वयंसेवक तूफान के बाद सफाई में कैसे सहायता करते हैं?","मलबा हटाना, संरचनाओं के पुनर्निर्माण में मदद करना, और प्रभावित परिवारों का समर्थन करना।"
"चक्रवात रिकवरी में पारस्परिक सहायता क्या है?","पड़ोसी समुदाय या संगठन संसाधन और जनशक्ति के साथ सहायता प्रदान करते हैं।"
"समुदाय दीर्घकालिक लचीलेपन की योजना कैसे बना सकते हैं?","बुनियादी ढांचे में निवेश, भवन कोड लागू करना, जनता को शिक्षित करना, और आपातकालीन योजनाओं को बनाए रखना।"
"स्थानीय मौसम विज्ञान कार्यालयों की क्या भूमिका है?","तूफानों का पूर्वानुमान लगाना, चेतावनी जारी करना, और सार्वजनिक मार्गदर्शन प्रदान करना।"
"रिमोट सेंसिंग चक्रवात प्रबंधन में कैसे सहायता कर सकती है?","तूफान विकास की निगरानी, गति ट्रैकिंग, और तूफान के बाद नुकसान का आकलन।"
"तूफान लहर मानचित्र क्या है?","तूफान-चालित समुद्री स्तर वृद्धि से बाढ़ के संभावित क्षेत्र दिखाता है।"
"चक्रवात के दौरान किसानों को फसलों की सुरक्षा कैसे करनी चाहिए?","जल्दी कटाई, संरचनाओं को सुरक्षित करना, सुरक्षात्मक आवरण का उपयोग, और सलाह का पालन।"
"व्यवसाय चक्रवात के लिए कैसे तैयारी कर सकते हैं?","निरंतरता योजना विकसित करना, संपत्ति सुरक्षित करना, डेटा बैकअप, और आपातकालीन प्रक्रियाओं के लिए कर्मचारियों को प्रशिक्षित करना।"
"चक्रवात के दौरान रेड क्रॉस की क्या भूमिका है?","आश्रयगृह, चिकित्सा सहायता, भोजन प्रदान करना, और आपदा राहत का समन्वय करना।"
"अस्पताल चक्रवात के बाद देखभाल को कैसे प्राथमिकता देते हैं?","पहले गंभीर रोगियों का इलाज, ट्राइएज प्रबंधन, और आवश्यक सेवाओं को बहाल करना।"
"चक्रवात के बाद आम विद्युत खतरे क्या हैं?","गिरी बिजली लाइनें, बाढ़ग्रस्त विद्युत प्रणाली, और खुले तार।"
"समुदाय जल जनित बीमारियों को कैसे रोक सकते हैं?","पानी उबालना, बाढ़ के पानी के संपर्क से बचना, और स्वच्छता बनाए रखना।"
"जल्दी निकासी का क्या महत्व है?","मौतों को कम करता है, चोटों को रोकता है, और आपातकालीन सेवाओं को प्रभावी रूप से काम करने की अनुमति देता है।"
"स्थानीय रेडियो स्टेशन चक्रवात के दौरान कैसे मदद कर सकते हैं?","निवासियों को अपडेट, चेतावनी, और सुरक्षा निर्देश प्रसारित करना।"
"चक्रवात के दौरान उच्च जोखिम व्यवहार क्या हैं?","बाढ़ से गुजरना, निकासी आदेशों को नजरअंदाज करना, और खिड़कियों के पास रहना।"
"चक्रवात के दौरान कम जोखिम व्यवहार क्या हैं?","आधिकारिक मार्गदर्शन का पालन, सुरक्षित आश्रय, और आपातकालीन आपूर्ति रखना।"
"अंतर्राष्ट्रीय संगठन चक्रवात के दौरान कैसे सहायता करते हैं?","धन, विशेषज्ञता, आपूर्ति प्रदान करना, और स्थानीय अधिकारियों के साथ समन्वय करना।"
"चक्रवात प्रबंधन में GIS का उपयोग कैसे किया जा सकता है?","योजना और प्रतिक्रिया का समर्थन करने के लिए खतरों, निकासी मार्गों, और संसाधनों का मानचित्रण।"
"चक्रवात के दौरान अधिकारियों की कानूनी बाध्यताएं क्या हैं?","चेतावनी जारी करना, निकासी का समन्वय, और सार्वजनिक सुरक्षा उपाय प्रदान करना।"
"चक्रवात के दौरान भोजन कैसे स्टोर करना चाहिए?","गैर-नाशवान, सील बंद, और प्रति व्यक्ति कम से कम 3 दिन के लिए पर्याप्त।"
"नेटवर्क डाउन होने पर लोग कैसे संवाद कर सकते हैं?","रेडियो, सैटेलाइट फोन, या पूर्व-निर्धारित मिलने के स्थानों का उपयोग करना।"
"पारिवारिक आपातकालीन बैठकों का क्या महत्व है?","सुनिश्चित करता है कि सभी योजना, संपर्क, और निकासी मार्ग जानते हैं।"
"सामुदायिक नेताओं की क्या जिम्मेदारियां हैं?","प्रतिक्रिया का समन्वय, संसाधन वितरण, जनता को सूचित करना, और कमजोर सदस्यों का समर्थन।"
"संरचनात्मक क्षति के संकेतों को कैसे पहचानें?","दीवारों में दरारें, झुकी छतें, झुकी इमारतें, और पानी का प्रवेश।"
"तकनीक चक्रवात प्रतिक्रिया को कैसे बेहतर बना सकती है?","ड्रोन, AI, प्रारंभिक चेतावनी प्रणाली, और डेटा एनालिटिक्स तैयारी और रिकवरी बढ़ाते हैं।"
"तूफान लहर के बारे में आम मिथक क्या हैं?","पानी का स्तर धीरे-धीरे बढ़ता है या केवल समुद्री तट को प्रभावित करता है; वास्तव में यह तेजी से बढ़ सकता है और अंतर्देशीय जा सकता है।"
"समुदाय विस्थापित आबादी का समर्थन कैसे कर सकते हैं?","अस्थायी आवास, भोजन, चिकित्सा सहायता, और मनोसामाजिक समर्थन।"
"चक्रवात तीव्रता को कैसे वर्गीकृत किया जाता है?","पवन गति, केंद्रीय दबाव, और संभावित नुकसान (सैफिर-सिम्पसन या क्षेत्रीय पैमाने) के आधार पर।"
"स्थानीय आपातकालीन योजनाएं सुरक्षा कैसे सुधारती हैं?","जिम्मेदारियों, संचार, और निकासी को पूर्व-परिभाषित करती हैं, भ्रम कम करती हैं।"
"चक्रवात पर निरंतर शिक्षा का क्या महत्व है?","जनता को जागरूक रखता है, तैयारी सुधारता है, और भविष्य की घटनाओं के दौरान जोखिम कम करता है।"
"प्रमुख चक्रवातों से मुख्य सबक क्या हैं?","प्रारंभिक चेतावनी जीवन बचाती है, लचीला बुनियादी ढांचा नुकसान कम करता है, और समन्वय रिकवरी सुधारता है।"
"बच्चों को चक्रवात सुरक्षा के बारे में कैसे शिक्षित किया जा सकता है?","आयु-उपयुक्त पाठ, अभ्यास, और उन्हें पारिवारिक तैयारी योजनाओं में शामिल करना।"
"सामाजिक सहायता नेटवर्क की क्या भूमिका है?","आपदाओं के दौरान और बाद में भावनात्मक, तार्किक, और भौतिक सहायता प्रदान करना।"
"चक्रवात के दौरान बाढ़ जोखिम के संकेतक क्या हैं?","कम ऊंचाई, तट से निकटता, ऐतिहासिक बाढ़ रिकॉर्ड, और भारी बारिश।"
"चक्रवात तैयारी में व्यक्तिगत जिम्मेदारी का क्या महत्व है?","जो व्यक्ति तैयारी करते हैं वे आपातकालीन सेवाओं पर बोझ कम करते हैं और जीवित रहने की संभावना बढ़ाते हैं।"
"चक्रवात के बाद खतरनाक रसायनों को कैसे संभालें?","न छूएं, अधिकारियों को रिपोर्ट करें, और संदूषण से बचें।"
"चक्रवात के बाद आम मनोवैज्ञानिक प्रभाव क्या हैं?","हानि और व्यवधान के कारण चिंता, अवसाद, PTSD, शोक, और तनाव।"
"दीर्घकालिक शमन की मुख्य रणनीतियां क्या हैं?","बुनियादी ढांचे को मजबूत करना, भूमि उपयोग योजना सुधारना, सामुदायिक शिक्षा, और पर्यावरण संरक्षण।"
"प्रश्न","उत्तर"
"सुनामी क्या है?","बड़े पानी की मात्रा के अचानक विस्थापन के कारण समुद्री लहरों की श्रृंखला।"
"सुनामी का कारण क्या है?","पानी के नीचे भूकंप, ज्वालामुखी विस्फोट, भूस्खलन, या उल्कापिंड प्रभाव।"
"सुनामी का सबसे आम कारण क्या है?","7.0 या उससे अधिक तीव्रता वाले पानी के नीचे भूकंप।"
"सुनामी पैदा करने के लिए भूकंप कितना गहरा होना चाहिए?","आमतौर पर समुद्री तल में 70 किलोमीटर से कम गहरा।"
"किस प्रकार की फॉल्ट गति सुनामी बनाती है?","समुद्री तल का ऊर्ध्वाधर विस्थापन, क्षैतिज फिसलन नहीं।"
"क्या ज्वालामुखी विस्फोट सुनामी का कारण बन सकते हैं?","हां, विस्फोटक विस्फोट या ज्वालामुखी पतन पानी विस्थापित कर सकते हैं।"
"क्या भूस्खलन सुनामी का कारण बन सकते हैं?","हां, पानी के नीचे या तटीय भूस्खलन स्थानीय सुनामी उत्पन्न कर सकते हैं।"
"इतिहास में सबसे घातक सुनामी कौन सी थी?","2004 हिंद महासागर सुनामी जिसमें 230,000 से अधिक लोग मारे गए।"
"अब तक रिकॉर्ड की गई सबसे बड़ी सुनामी लहर कौन सी थी?","1958 लितुया बे, अलास्का - 524 मीटर (1,720 फीट) ऊंची।"
"गहरे समुद्र में सुनामी कितनी तेजी से यात्रा करती है?","500-800 किमी/घंटा (300-500 मील/घंटा), वाणिज्यिक जेट की गति।"
"उथले पानी में सुनामी कितनी तेजी से यात्रा करती है?","50-100 किमी/घंटा (30-60 मील/घंटा) तक धीमी हो जाती है लेकिन ऊंचाई में वृद्धि होती है।"
"किनारे के पास सुनामी क्यों धीमी हो जाती है?","उथला पानी घर्षण पैदा करता है जो गति कम करता है लेकिन ऊंचाई बढ़ाता है।"
"सुनामी की लहरें कितनी ऊंची हो सकती हैं?","आमतौर पर 3-30 मीटर, लेकिन चरम मामलों में 40 मीटर से अधिक।"
"सुनामी रनअप क्या है?","समुद्री स्तर से पानी की अधिकतम ऊर्ध्वाधर ऊंचाई अंतर्देशीय तक पहुंचती है।"
"सुनामी अंतर्देशीय कितनी दूर तक यात्रा कर सकती है?","समतल तटीय मैदानों पर 10 किलोमीटर तक।"
"क्या सभी सुनामी लहरें समान आकार की होती हैं?","नहीं, लहरें आकार में भिन्न होती हैं और सबसे बड़ी पहली नहीं हो सकती।"
"सुनामी में कितनी लहरें होती हैं?","घंटों में कई लहरें, बाद की लहरें पहली से बड़ी हो सकती हैं।"
"सुनामी लहरों के बीच समय क्या है?","आमतौर पर लहर शिखर के बीच 10-45 मिनट।"
"क्या सुनामी हमेशा पानी की विशाल दीवारों के रूप में दिखाई देती है?","नहीं, अक्सर तेजी से बढ़ते ज्वार या तेज बहते बाढ़ के रूप में दिखाई देती है।"
"सुनामी बोर क्या है?","नदियों और संकरी खाड़ियों में बनने वाली अशांत पानी की दीवार।"
"सुनामी के प्राकृतिक चेतावनी संकेत क्या हैं?","तट के पास 20 सेकंड से अधिक तक चलने वाला तेज भूकंप।"
"सुनामी से पहले समुद्री पानी का पीछे हटना क्या मतलब है?","पानी अचानक पीछे हट जाता है और समुद्री तल और समुद्री जीवन को उजागर करता है।"
"पानी के पीछे हटने के दौरान उजागर समुद्री तल की जांच करनी चाहिए?","नहीं, तुरंत ऊंची जमीन पर निकलें - सुनामी आ रही है।"
"सुनामी से पहले आप कौन सी आवाज सुन सकते हैं?","मालगाड़ी या जेट इंजन की तरह तेज गर्जना की आवाज।"
"क्या जानवर इंसानों से पहले सुनामी को महसूस कर सकते हैं?","जानवर अजीब व्यवहार कर सकते हैं, लेकिन चेतावनी के लिए इस पर भरोसा न करें।"
"यदि आप तट पर तेज भूकंप महसूस करते हैं तो क्या करें?","तुरंत ऊंची जमीन पर चले जाएं, आधिकारिक चेतावनी का इंतजार न करें।"
"भूकंप के बाद निकासी के लिए कितना समय है?","आमतौर पर नजदीकी सुनामी के लिए 15-30 मिनट, दूर की के लिए घंटे।"
"यदि भूकंप महसूस करने के लिए बहुत कमजोर है तो क्या करें?","दूर के भूकंप अभी भी सुनामी उत्पन्न कर सकते हैं, अन्य संकेतों पर ध्यान दें।"
"क्या आधिकारिक चेतावनी का इंतजार करना चाहिए?","नहीं, प्राकृतिक संकेतों के लिए तुरंत स्व-निकासी की आवश्यकता ऊंची जमीन पर।"
"यदि आप समुद्री पानी का पीछे हटना देखते हैं लेकिन भूकंप महसूस नहीं किया?","फिर भी तुरंत निकलें - सुनामी दूर के स्रोत से हो सकती है।"
"क्या छोटे भूकंप सुनामी उत्पन्न कर सकते हैं?","शायद ही, लेकिन छोटे भूकंप से ट्रिगर हुए पानी के नीचे भूस्खलन हो सकते हैं।"
"यदि पानी का स्तर असामान्य रूप से तेजी से बढ़े तो क्या करें?","तुरंत निकलें, यह सुनामी की पहली लहर हो सकती है।"
"सुनामी चेतावनी कौन जारी करता है?","राष्ट्रीय सुनामी चेतावनी केंद्र और स्थानीय आपातकालीन प्रबंधन।"
"सुनामी वॉच क्या है?","भूकंप डेटा के आधार पर सुनामी संभव, अपडेट के लिए सतर्क रहें।"
"सुनामी सलाह क्या है?","तेज धाराओं की उम्मीद, पानी से बाहर रहें लेकिन निकासी आवश्यक नहीं।"
"सुनामी चेतावनी क्या है?","खतरनाक सुनामी लहरों की उम्मीद, तत्काल निकासी आवश्यक।"
"सुनामी चेतावनी कैसे वितरित की जाती है?","सायरन, रेडियो, टीवी, सेल फोन अलर्ट, सोशल मीडिया।"
"जब सुनामी चेतावनी जारी हो तो क्या करना चाहिए?","तुरंत ऊंची जमीन या अंतर्देशीय निकलें।"
"चेतावनी आपको कितना समय देती है?","सुनामी स्रोत की दूरी के आधार पर मिनट से घंटे तक।"
"यदि चेतावनी प्रणाली फेल हो जाए तो क्या करें?","प्राकृतिक चेतावनी संकेतों पर भरोसा करें और भूकंप या समुद्री बदलावों के आधार पर निकलें।"
"सुनामी देखने से पहले पुष्टि का इंतजार करना चाहिए?","नहीं, जब तक आप इसे देखते हैं, तब तक सुरक्षित रूप से भागने में बहुत देर हो चुकी होती है।"
"कौन सी तकनीक सुनामी का पता लगाती है?","गहरे समुद्री बोये (DART सिस्टम), तटीय ज्वारीय गेज, भूकंप मापी।"
"गहरे समुद्री बोये कैसे काम करते हैं?","समुद्री तल पर दबाव परिवर्तन का पता लगाते हैं और उपग्रह के माध्यम से डेटा ट्रांसमिट करते हैं।"
"DART सिस्टम क्या है?","डीप-ओशन असेसमेंट एंड रिपोर्टिंग ऑफ सुनामी बोये नेटवर्क।"
"प्रश्न","उत्तर"
"सुनामी की चेतावनी कितनी सटीक होती है?","पहचान के लिए बहुत सटीक, लेकिन ऊंचाई और पहुंचने के समय का अनुमान अलग-अलग होता है।"
"क्या सुनामी का पूर्वानुमान मौसम की तरह लगाया जा सकता है?","नहीं, इसे केवल ट्रिगर करने वाली घटना के बाद ही पता लगाया जा सकता है।"
"आपकी सुनामी आपातकालीन किट में क्या होना चाहिए?","पानी, भोजन, फ्लैशलाइट, रेडियो, प्राथमिक चिकित्सा, महत्वपूर्ण दस्तावेज, मजबूत जूते।"
"सुनामी के लिए कितना पानी संग्रहीत करना चाहिए?","कम से कम 3 दिनों के लिए प्रति व्यक्ति प्रति दिन 1 गैलन।"
"सुनामी आपातकाल के लिए कौन सा रेडियो सबसे अच्छा है?","NOAA अलर्ट के साथ बैटरी संचालित या हैंड-क्रैंक मौसम रेडियो।"
"सुनामी से कौन से दस्तावेजों को सुरक्षित रखना चाहिए?","पहचान पत्र, बीमा कागजात, मेडिकल रिकॉर्ड को बाढ़ के स्तर से ऊपर वाटरप्रूफ कंटेनर में।"
"क्या आपको काम पर आपातकालीन सप्लाई रखनी चाहिए?","हां, 72 घंटों की आपूर्ति के साथ कार्यक्षेत्र किट।"
"सुनामी निकासी के लिए कौन से जूते सबसे अच्छे हैं?","मजबूत बंद पंजे वाले जूते जो दौड़ते समय नहीं निकलते।"
"सुनामी के लिए अपने घर को कैसे तैयार करें?","निकासी मार्ग जानें, वॉटर हीटर सुरक्षित करें, उपकरण ऊंचे रखें, आपातकालीन किट रखें।"
"क्या सुनामी क्षेत्रों में घर को ऊंचा करना चाहिए?","यदि संरचनात्मक और वित्तीय रूप से संभव हो तो खंभों/पाइलिंग पर ऊंचाई पर विचार करें।"
"कौन सा बीमा सुनामी क्षति को कवर करता है?","बाढ़ बीमा कुछ सुनामी क्षति को कवर कर सकता है, पॉलिसी विवरण जांचें।"
"सुनामी पारिवारिक योजना कैसे बनाएं?","मिलने के स्थान, निकासी मार्ग, संचार तरीके, क्षेत्र के बाहर संपर्क।"
"सुनामी के बाद परिवारजनों को कहां मिलना चाहिए?","तट से दूर ऊंची जमीन का स्थान जहां सभी पहुंच सकें।"
"सुनामी निकासी का अभ्यास कैसे करें?","निकासी मार्गों पर चलें, समय देखें कि कितना लगता है, अलग समय पर अभ्यास करें।"
"अगर सुनामी के दौरान परिवारजन अलग हो जाएं तो क्या करें?","पूर्व निर्धारित मिलने के स्थान और राज्य के बाहर संपर्क व्यक्ति का उपयोग करें।"
"सुनामी निकासी के लिए पालतू जानवरों को कैसे तैयार करें?","कैरियर, पट्टे, भोजन, पानी, दवाइयां, पहचान टैग।"
"क्या सुनामी निकासी के दौरान गाड़ी चला सकते हैं?","केवल यदि बिल्कुल आवश्यक हो, ट्रैफिक जाम हो सकता है - पैदल चलना अक्सर तेज होता है।"
"यदि भूकंप के दौरान समुद्र तट पर हों तो क्या करें?","गिरें, ढकें, पकड़ें, फिर हिलना बंद होने पर तुरंत ऊंची जमीन पर जाएं।"
"यदि सुनामी चेतावनी के दौरान नाव में हों तो क्या करें?","यदि गहरे पानी में हैं तो वहीं रहें, यदि किनारे के पास हैं तो जमीन पर जाकर अंदर की ओर जाएं।"
"सुनामी निकासी के दौरान कितनी ऊंचाई सुरक्षित है?","समुद्र तल से कम से कम 30 मीटर (100 फीट) ऊपर या 2 किमी अंदर तक।"
"यदि कोई ऊंची जमीन उपलब्ध नहीं है तो क्या करें?","जितना हो सके अंदर की ओर जाएं, मजबूत इमारतों की ऊपरी मंजिलों की तलाश करें।"
"क्या सुनामी निकासी के दौरान लिफ्ट का उपयोग करना चाहिए?","नहीं, निकासी के दौरान बिजली बंद होने के मामले में सीढ़ियों का उपयोग करें।"
"यदि सुनामी चेतावनी के दौरान गाड़ी चला रहे हों तो क्या करें?","सुरक्षित रूप से पार्क करें, आपातकालीन किट लें, पैदल ऊंची जमीन पर निकलें।"
"क्या कार में सुनामी से भाग सकते हैं?","ट्रैफिक, मलबे और सुनामी की गति के कारण संभावना कम - जब संभव हो पैदल निकलें।"
"यदि निकासी मार्ग अवरुद्ध हों तो क्या करें?","ऊंची जमीन के लिए वैकल्पिक मार्ग खोजें, खतरनाक क्षेत्रों में वापस न जाएं।"
"क्या निकासी के दौरान दूसरों की मदद करनी चाहिए?","हां यदि सुरक्षित हो, लेकिन अनावश्यक रूप से जान जोखिम में न डालें।"
"यदि निकासी के दौरान घायल व्यक्ति मिले तो क्या करें?","यदि संभव हो तो मदद करें लेकिन पहले सुरक्षा पर पहुंचने को प्राथमिकता दें।"
"गतिशीलता सीमाओं के साथ कैसे निकलें?","पहले से सहायता की योजना बनाएं, व्हीलचेयर/वॉकर का उपयोग करें, दूसरों से मदद लें।"
"यदि निकासी के दौरान छोटे बच्चों की देखभाल कर रहे हों तो क्या करें?","शिशुओं को गोद में लें, बच्चों का हाथ पकड़ें, नियमित रूप से निकासी का अभ्यास करें।"
"क्या बुजुर्गों या विकलांगों को निकलना चाहिए?","हां, सहायता और परिवहन के लिए पहले से योजना बनाएं।"
"यदि निर्धारित निकासी क्षेत्र तक नहीं पहुंच सकते तो क्या करें?","उपलब्ध सबसे ऊंची जमीन पर जाएं, यहां तक कि इमारतों की ऊपरी मंजिलों पर भी।"
"यदि सुनामी के पानी में फंस जाएं तो क्या करें?","तैरते मलबे को पकड़ें, बिजली की तारों से बचें, जल्दी पानी से बाहर निकलने की कोशिश करें।"
"क्या सुनामी के पानी में तैर सकते हैं?","मलबे और शक्तिशाली धाराओं के कारण बहुत कठिन - यदि संभव हो तो बचें।"
"यदि सुनामी का पानी आपके चारों ओर बढ़ रहा हो तो क्या करें?","उपलब्ध सबसे ऊंचे बिंदु पर चढ़ें, मदद के लिए पुकारें, बिजली के खतरों से बचें।"
